TitleOfSecurity,TransactionDate,TransactionCode,Amount,SecuritiesAcquirednDisposed,AmountOfSecurityOwned,OwnershipForm
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",129,A,"21,997",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",128,A,"38,264",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",136,A,"39,294",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",28,A,"3,611",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",136,A,"39,294",D
Common Stock $0.01 Par Value,12/16/2019,"
,J,(1),
",5.737,A,"145,623.48",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",942,A,"221,846",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",96,A,"56,841",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",113,A,"33,889",D
Common Stock,12/17/2019,"
,F,(1),
",255,D,"22,983",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",169,A,"88,575.24",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",136,A,"39,294",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",74,A,"49,909",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",79,A,"15,699",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",136,A,"44,234",D
Common Stock,12/17/2019,S,"5,000",D,"40,421",D
Common Stock,12/16/2019,"
,S,(1),
","2,598",D,"77,240",D
Class A common stock,12/18/2019,P,"1,369,863",A,"30,356,212",I
Common Stock,12/16/2019,"
,S,(1),
","1,000",D,595,D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",87,A,"35,070",D
Common Stock,12/17/2019,"
,S,(1),
","1,774",D,"
,113,850,(3),
",D
Common Stock,12/17/2019,"
,S,(1),
",349,D,"
,92,966,(2),
",D
Commom Stock,12/17/2019,"
,S,(1),
","5,519",D,"254,118",D
Common Stock,12/16/2019,S,887,D,"297,862",I
Class A Common Stock,12/16/2019,"
,C,(1),(2),
","445,700",A,"445,700",I
Class A Common Stock,12/16/2019,"
,C,(1),
","445,700",A,"445,700",I
Common Stock,12/16/2019,"
,M,(1),
","3,566",A,"34,027",D
"
,Ordinary Shares,(1),(2),
",12/16/2019,M,"100,000",A,"184,547",D
Common Stock,11/8/2019,"
,F,(1),
","2,343",D,"110,538",D
Common Stock,12/16/2019,"
,M,(1),
","5,000",A,"6,250",D
Class A Common Stock,12/16/2019,"
,S,(1),
","9,968",D,"9,968",I
"Common Stock, $.01 Par Value",12/17/2019,P,"46,000",A,"599,091",D
Restricted Stock Unit,-1,,,51,"
,
                
            ,(2),
","
,
                
            ,(3),
"
Restricted Stock Unit,-1,,,9,"
,
                
            ,(2),
","
,
                
            ,(3),
"
Common Stock,12/16/2019,A,"
,6,950,(1),
",A,"6,950",D
"
,Class B Common Stock,(1),
",12/16/2019,C,"802,324",D,"
,2,683,371,(3),
",I
Common Units of limited liability company interests,12/16/2019,P,20,A,"
,90.47,(1),
",D
Common Stock,12/11/2019,D,"
,535,983,(1),
",D,"38,809,168",I
Common Units of limited liability company interests,12/16/2019,P,25,A,"
,113.09,(1),
",D
Common Stock,12/11/2019,D,"
,535,983,(1),
",D,"38,809,168",I
"
,Class B Common Stock,(1),
",12/16/2019,C,"802,324",D,"2,683,371",D
"
,Common Stock,(1),
",12/16/2019,A,"
,100,(2),
",A,"8,262",D
Common Stock,12/17/2019,"
,S,(1),
","10,000",D,"3,797,822",D
Restricted Stock Units,-2,,,"7,364","
,
                
            ,(5),
","
,
                
            ,(5),
"
Common Stock,11/13/2019,S,"325,000",A,"
,10,325,000,(1),
",D
Common Stock,12/16/2019,M,"12,762","
,A,(1),
","39,758",D
"
,Class B Common Stock,(1),
",12/16/2019,C,"643,931",D,"
,2,153,623,(3),
",I
"
,Class B Common Stock,(1),
",12/16/2019,C,"643,931",D,"2,153,623",D
"
,Common Stock,(1),
",12/16/2019,A,"
,10,000,(2),
",A,"35,000",D
Common Stock,12/16/2019,A,"
,31,900,(1),
",A,"31,900",D
Class A Common Stock,12/16/2019,"
,F,(1),
","17,120",D,"
,75,138,(2),
",D
Common Stock,12/17/2019,"
,A,(1),
","162,338",A,"162,338",D
Common Stock,12/17/2019,A,"
,1,230,(1),(2),
",A,"1,230",D
Common Stock,12/16/2019,S,"5,000",D,"39,575",D
Common Stock,,,,,"100,328.99",D
Class A Common Stock,12/16/2019,"
,S,(1),
","1,433",D,"
,152,932,(3),
",D
Common Stock,12/16/2019,M,"5,505",A,"
,41,114,(1),
",D
Class A Common Stock,12/16/2019,"
,S,(1),
","3,287",D,"
,155,355,(3),
",D
Common Stock,12/16/2019,F,"
,8,227,(1),
",D,"153,663",D
Common Stock,12/16/2019,F,54,D,"2,865.39",D
Common Stock,12/9/2019,P,"5,729",A,"1,819,886",D
Class A Common Stock,12/16/2019,"
,S,(1),
","
,24,865,(1),
",D,"141,857",D
Class A Common Stock,12/16/2019,F,"
,1,086,(1),
",D,"122,129",D
Common Stock,12/16/2019,M,"30,750",A,"101,995",D
Restricted Stock Units,-1,,,"
,118,(2),
","
,
                
            ,(3),
","
,
                
            ,(3),
"
Common Stock,12/17/2019,S,"4,243",D,"53,564",D
Common Stock,12/16/2019,M,"13,804",A,"28,027",D
Class A Common Stock,12/16/2019,A,"5,000",A,"25,000",D
Common Stock,11/27/2019,G,650,D,"
,81,604,(1),
",D
Class A common stock,12/16/2019,"
,C,(1),
","100,000",A,"100,000",D
"Class A common stock, par value $0.01",12/16/2019,S,"1,153,187",D,"3,856,823",I
"Class A common stock, par value $0.01",12/16/2019,S,"1,153,187",D,"3,856,823",I
"Class A common stock, par value $0.01",12/16/2019,S,"1,153,187",D,"3,856,823",I
Common Units of limited liability company interests,12/16/2019,P,25,A,"
,113.09,(1),
",D
Common Stock,12/16/2019,M,"3,033",A,"920,378",D
Class A Common Stock,12/16/2019,"
,S,(1),
","
,12,109,(1),
",D,"32,780",D
Common Stock,,,,,"
,44,855.2015,(1),
",D
Common Stock,12/16/2019,M,"30,000",A,"351,208",D
Common Stock,12/16/2019,A,81,A,"2,921",D
Class A Common Stock,12/16/2019,M,"2,500",A,"12,500",D
Common Stock,12/17/2019,S,"36,000",D,"1,139,358",I
Class A Common Stock,12/11/2019,G,100,D,"101,285",D
Common Stock,12/16/2019,A,"
,1,684.9288,(1),
",A,"
,3,506.9132,(2),
",I
"UMH Properties, Inc.",12/17/2019,G,"
,11,464.98,(1),
",D,"24,048.05",D
Class A Common Stock,12/16/2019,A,"5,000",A,"5,000",D
Common Stock,12/16/2019,S,"
,11,730,(1),
",D,"399,531",D
Common Stock,12/16/2019,P,"10,000",A,"17,467,816",D
Common Stock,,,,,"1,210,873",D
Common Stock,12/16/2019,M,"1,487",A,"6,489",D
Common Units Representing Limited Partnership Interests,12/16/2019,P,"44,250",A,"4,295,218",I
"Class A Common Stock, par value $0.01 per share",12/16/2019,G,"
,4,000,(1),
",D,"352,560",D
"
,Common Stock,(1),
",12/16/2019,A,"
,177,(2),
",A,"14,531",D
Common Stock,12/16/2019,A,"30,760",A,"801,806",D
Common Stock,12/16/2019,S,"2,433",D,"1,027,901",D
Class A Common Stock,12/16/2019,M,"141,000",A,"564,423.95",D
"
,Common Stock,(1),
",12/16/2019,A,"
,80,(2),
",A,"6,540",D
Common Stock,12/16/2019,M,"98,080","
,A,(1),
","113,930",D
Common Stock,12/16/2019,"
,S,(1),
","50,000",D,"1,124,999",I
Common Stock,12/16/2019,M,"135,022","
,A,(1),
","574,973",D
Common Stock,12/16/2019,M,"638,977","
,A,(1),
","47,010,563",D
Common Stock,12/17/2019,F,"
,17,220,(1),
",D,"
,1,553,357,(2),
",D
Common Stock,12/11/2019,G,"1,000",D,"124,468.48",D
Common Stock,12/17/2019,S,"6,000",D,"16,284",D
Common Stock,12/17/2019,"
,S,(1),
","15,000",D,"158,702",I
Class A Common Stock,"
,12/17/2019,(1),
",M,309,A,"17,124",D
Common Stock,12/16/2019,"
,M,(1),
",465,A,"39,024",D
Common Stock,12/16/2019,A,"
,364,(1),
",A,"3,212",D
Common Stock,12/16/2019,A,"
,590,(1),
",A,"4,451",D
Common Stock,12/16/2019,A,"
,330,(1),
",A,"1,017",D
Common Stock,12/16/2019,A,"
,411,(1),
",A,"5,507",D
Common Stock,12/16/2019,A,"
,5,812,(1),
",A,"20,596",D
Common Stock,12/16/2019,A,"
,524,(1),
",A,613,D
Common Stock,12/16/2019,"
,F,(1),
","27,199",D,"416,408",D
Common Stock,12/16/2019,I,126,D,"2,200",I
Common Stock,12/16/2019,"
,F,(1),
","21,378",D,"1,672,090",D
Common Stock,12/16/2019,A,"
,720,(1),
",A,"2,164",D
Common Stock,12/16/2019,"
,F,(1),
","12,016",D,"251,123",D
Common Units of limited liability company interests,12/16/2019,P,25,A,"
,113.09,(1),
",D
Common Stock,12/16/2019,"
,F,(1),
",701,D,"568,969",D
Common Stock,12/16/2019,"
,F,(1),
","13,374",D,"402,817",D
Common Stock,12/16/2019,"
,F,(1),
",34,D,"113,996",D
Common Stock,12/16/2019,"
,S,(1),
","20,000",D,"4,643,223",D
"UMH Properties, Inc.",,,,,"
,590,166.21,(1),
",D
Common Stock,12/16/2019,"
,S,(1),
","7,246,742",D,"13,764,647",D
"UMH Properties, Inc.",,,,,"
,257,045.29,(1),
",D
"Common stock, no par value",12/16/2019,P,465,A,625,D
"UMH Properties, Inc.",,,,,"
,11,317.3,(1),
",D
"UMH Properties, Inc.",,,,,"
,7,418.64,(1),
",D
"UMH Properties, Inc.",,,,,"
,619.79,(1),
",D
"UMH Properties, Inc.",,,,,"
,1,271,463.95,(1),
",D
"UMH Properties, Inc.",,,,,"
,23,588.33,(1),
",D
"UMH Properties, Inc.",,,,,"
,8,141.51,(1),
",D
Common Stock,12/16/2019,"
,S,(1),
","
,11,000,(2),
",D,"655,033",D
"UMH Properties, Inc.",,,,,"
,593,985.339,(1),
",D
"UMH Properties, Inc.",,,,,"
,3,410.55,(1),
",D
Restricted Stock Units,-2,,,"3,836","
,
                
            ,(5),
","
,
                
            ,(5),
"
Common Stock Class A,12/16/2019,A,506,A,"17,847",D
Common Stock,12/16/2019,F,634,D,"58,172",D
Common Stock,12/16/2019,M,"9,900",A,"11,247",D
Common Stock,12/18/2019,S,"3,636,066",D,"
,167,430,199,(2),
","
,I,(3),
"
"Common Stock, $0.01 par value",12/16/2019,F,"7,767",D,"245,809",D
Common Stock,12/16/2019,"
,M,(1),
","1,250",A,"4,957",D
Common Stock,12/16/2019,"
,G,(1),
","17,000",D,"34,085,560",I
Common Stock,12/16/2019,M,"
,19,169,(1),
",A,"274,786",D
Common Stock,12/16/2019,"
,J,(1),
","1,831",A,"9,998",I
Common Stock,12/16/2019,"
,J,(1),
",67,A,86,I
Common Stock,12/16/2019,"
,J,(1),
","2,694,300",D,"4,326,710","
,D,(2),
"
Common Stock,12/16/2019,F,"
,62.07,(1),
",D,"
,49,322.438,(2),
",D
Common Stock,12/16/2019,F,"1,777",D,"361,337",D
Common Stock,12/17/2019,M,"13,305",A,"203,816",D
Common Shares,12/16/2019,S,"20,000",D,"26,030,521",D
Common Stock,12/16/2019,"
,S,(1),
",157,D,"270,737",D
Common Stock,12/16/2019,M,"34,122",A,"516,723",D
Class A Common Stock,12/16/2019,C,500,A,"
,11,883,(1),
",D
Common Stock,12/16/2019,"
,S,(1),
",400,D,"1,960",D
Common Stock,12/18/2019,"
,D,(1),
","21,044",D,"187,261",D
Common Stock,12/13/2019,"
,M,(1),
","1,600",A,"8,060",D
Common Stock,12/16/2019,"
,S,(1),
","6,000",D,"790,899",I
Common Stock,12/16/2019,M,"
,18,000,(1),
",A,"
,244,670,(3),
",D
"Common Stock, par value $0.001",12/17/2019,S,"
,1,884,(1),
",D,"56,934",D
Common Stock,12/16/2019,S,500,D,"63,247",D
"Common Stock, par value $.01",12/16/2019,S,"4,832",D,"79,313",D
Common Stock,12/17/2019,P,257,A,"
,315,173,(1),
",D
Tejon Ranch Co. Common Stock,12/17/2019,A,503,A,"27,664",D
Common Stock,12/17/2019,S,"17,241",D,0,I
Common Stock,12/16/2019,F,"
,2,209,(1),
",D,"76,572",D
Common Stock,12/16/2019,S,"18,180",D,"186,522.41",D
Common Stock,12/16/2019,A,"
,595.1106,(1),
",A,"
,14,535.5714,(2),
",I
Common Stock,,,,,"25,288",D
Common Stock,12/16/2019,A,"
,1,524.2716,(1),
",A,"
,42,636.4394,(2),
",I
Common Stock,,,,,"6,672.82",D
Common Stock,12/16/2019,S,"75,000",D,"816,750",I
Common Stock,12/16/2019,S,"97,005",D,"4,560,253",I
Common Stock,12/16/2019,M,"
,40,000,(1),
",A,"888,272",D
Common Stock,12/16/2019,A,17,A,"58,067",D
Common Stock $.01 Par Value ND,,,,,"5,931",D
Common Stock,12/16/2019,"
,F,(1),
","2,119",D,"
,47,386,(2),
",D
"Common Stock, $0.001 par value",12/16/2019,F,"
,745,(1),
",D,"
,226,107,(2),
",D
Common Stock,12/16/2019,"
,F,(1),
","8,816",D,"
,1,966,709,(2),
",D
Common Stock,12/16/2019,"
,F,(1),
","12,891",D,"
,2,889,828,(2),(3),
",D
Common Stock,12/16/2019,"
,F,(1),
","1,263",D,"
,57,711,(2),
",D
Common Stock,12/16/2019,"
,F,(1),
","7,600",D,"
,228,059,(2),(3),
",D
Common Stock,12/16/2019,"
,F,(1),
","6,546",D,"
,440,290,(2),
",D
Class A Common Stock,12/16/2019,"
,C,(1),
","
,15,000,(2),
",A,"108,416",D
Class A Common Stock,12/16/2019,"
,C,(1),
","
,4,697,(2),
",A,"24,900",I
Common Stock,12/16/2019,A,"
,193,(1),
",A,"13,698",D
Class I Common Share,6/11/2019,J,"210,827.08",A,"
,252,223.636,(2),
",I
Common Stock,12/17/2019,F,869,D,"46,930",D
Class I Common Stock,6/3/2019,P,"1,222.06",A,"
,3,826.4,(1),
",D
Class I Common Stock,6/3/2019,P,"9,776.51",A,"
,25,797.477,(1),
",D
Common Stock,12/15/2019,"
,M,(1),
","2,111",A,"88,035",D
Class A Common Stock,11/15/2019,A,"
,1,(1),
",A,"404,205",D
Common Stock $0.01 Par Value,12/16/2019,"
,J,(1),
",107.3222,A,"36,298.13",D
Class A Common Stock,12/16/2019,M,"3,020",A,"60,416",D
Class A Common Stock,12/16/2019,M,"2,500",A,"12,500",D
Class A Common Stock,12/17/2019,C,"6,086,620",A,"6,086,620",I
Common Stock,12/16/2019,F,"
,70,505,(1),
",D,"2,177,851",D
Common Stock,12/16/2019,A,"
,13,069,(1),
",A,"
,27,153,(2),
",D
Common Stock,12/16/2019,S,"
,500,(1),
",D,"157,112",D
Common Stock,12/16/2019,S,"6,456",D,"
,10,590,(2),
",D
Common Stock,12/16/2019,A,"
,5,227,(1),
",A,"
,26,908,(2),
",D
Class A Common Stock,12/17/2019,C,"6,086,620",A,"6,086,620","
,D,(2),
"
Common Stock,12/16/2019,A,"
,13,069,(1),
",A,"
,45,116,(2),
",D
Common Stock,12/16/2019,A,"
,2,007,(1),
",A,"31,914",D
Common Stock,12/16/2019,A,"
,4,978,(1),
",A,"32,989",D
Common Stock,12/16/2019,A,"
,2,007,(1),
",A,"3,841",D
Common Stock,12/16/2019,A,"
,3,693,(1),
",A,"7,389",D
Common Stock,12/16/2019,S,"
,150,(1),
",D,"305,890",D
Common Stock,12/16/2019,A,"
,3,934,(1),
",A,"
,33,120,(2),(3),
",D
Common Stock,12/16/2019,A,"
,3,934,(1),
",A,"32,833",D
"Common Stock, $0.001 par value",12/16/2019,F,"
,744,(1),
",D,"
,44,607,(2),
",D
Common Stock,12/16/2019,A,"
,3,448,(1),
",A,"14,234",D
Common Stock,12/16/2019,A,"
,193,(1),
",A,"2,411",D
Common Stock,12/16/2019,A,"
,672,(1),
",A,"60,763",D
Common Stock,12/17/2019,"
,S,(1),
","52,687",D,"3,740,502",D
"
,Common Stock,(1),
",11/12/2019,A,"14,968",A,"14,968",D
Common Stock,12/16/2019,A,713,A,"1,409",D
Class A Common Stock,12/17/2019,S,"
,18,500,(1),
",D,"1,427,176",D
Class A Common Stock,12/16/2019,S,"
,35,235,(1),
",D,"1,336,019",D
Class A Common Stock,12/16/2019,S,"
,30,426,(1),
",D,"2,246,369",D
Class A Common Stock,12/16/2019,S,"
,35,149,(1),
",D,"2,431,817",D
Common Stock,12/17/2019,F,771,D,"34,579",D
Common Stock,,,,,"
,17,181,(1),
",D
Common Stock,,,,,"
,10,764,(1),
",D
Common Stock,12/17/2019,A,"
,329,(1),
",A,"2,674",D
Common Stock,12/16/2019,M,"15,000",A,"386,184",D
Class A Common Stock,12/16/2019,"
,S,(1),
","2,500",D,"165,947",D
Common Stock,12/18/2019,"
,M,(1),
","32,222",A,"32,609",D
Class A Common Stock,12/16/2019,"
,S,(1),
","1,500",D,"162,500",I
Common Stock,12/16/2019,M,"37,481",A,"280,267",D
Common Stock,12/17/2019,S,"7,000",D,"131,315.27",D
Common Stock,12/16/2019,M,"16,962",A,"70,277",D
Common Stock,12/16/2019,"
,M,(1),
","9,600",A,"91,382",D
Common Stock,12/16/2019,A,"
,193,(1),(2),
",A,"12,721",D
Common Stock,12/16/2019,S,"
,48,(1),
",D,"25,961",D
Common Stock,12/16/2019,F,"
,11,672,(1),
",D,"94,115",D
Common Stock,12/16/2019,P,"
,10,301,(1),
",A,"10,301",D
Common Stock,12/16/2019,P,"66,390",A,"453,767",I
Common Shares,12/17/2019,F,"
,2,148,(1),
",D,"151,661",D
Common Stock,12/16/2019,M,"2,500",A,"72,755",D
"
,Common Stock,(1),
",12/16/2019,M,"27,928",A,"
,139,001,(2),
",D
Common Stock,12/16/2019,S,"20,000",D,"380,153",I
COMMON STOCK,12/13/2019,"
,G,(1),
","
,600,(1),
",D,"
,38,050,(2),
",I
ResMed Common Stock,12/16/2019,"
,S,(1),
","2,500",D,"102,211",D
Common Stock,12/17/2019,S,"
,10,000,(1),
",D,"275,461",D
Class A Common Stock,12/16/2019,"
,S,(1),
","
,14,048,(1),
",D,"30,671",D
Common Stock,12/16/2019,"
,M,(1),
",634,A,"6,727.66",D
COMMON STOCK,12/13/2019,"
,G,(1),
","
,600,(1),
",D,"
,38,050,(2),
",D
Common Stock,12/16/2019,M,"2,500",A,"44,112",D
Common Stock,12/16/2019,M,937,A,"5,819",D
Common Stock,12/16/2019,S,"20,000",D,"1,393,739",D
Common Stock,12/16/2019,M,"1,521",A,"47,275",D
"Class A common stock, par value $0.001",12/16/2019,M,"33,000",A,"38,128",D
Common Stock,12/16/2019,S,"3,375",D,"5,255.61",D
Common Stock $.01 Par Value ND,,,,,"5,000",I
Southern Company Common Stock,12/17/2019,M,"25,000",A,"67,655",D
Common Stock,12/16/2019,M,777,A,"84,070",D
Southern Company Common Stock,12/17/2019,M,"23,958",A,"37,461.05",D
Common Stock,12/16/2019,M,"28,603",A,"101,312",D
Common Stock,12/17/2019,"
,S,(1),
","3,971",D,"680,267",D
"
,Common Stock,(1),
",12/16/2019,A,"
,150,000,(2),
",A,"935,719",D
Class A Common Stock,12/17/2019,M,"30,000",A,"32,396",D
Common Stock,12/16/2019,M,"7,833",A,"49,386",D
SFNC,,,,,"8,785",D
Class A Common Stock,12/16/2019,S,"17,796",D,"174,868",D
SFNC,,,,,"36,706",D
SFNC,,,,,"19,553",D
SFNC,,,,,"
,137,892,(1),
",D
SFNC,,,,,"
,84,363,(1),
",D
SFNC,,,,,"
,41,331,(1),
",D
SFNC,,,,,"44,953",D
"Common Stock, $0.01 par value per share",12/16/2019,S,"50,000",D,"3,527,283",I
Common Stock,12/16/2019,M,"
,8,000,(1),
",A,"50,479",D
Common Stock,12/16/2019,M,"3,000",A,"21,918",D
"Common Stock, $0.01 par value per share",12/16/2019,S,"50,000",D,"3,527,283","
,D,(1),
"
Class A Common Stock,12/16/2019,"
,F,(1),
","4,898",D,"
,43,678,(2),
",D
Common Stock,12/16/2019,A,"
,20,(1),
",A,100,D
Common Stock,12/16/2019,F,"
,5,398,(1),
",D,"640,840",D
Common Stock,12/16/2019,"
,P,(1),
",279,A,"604,697",D
Common Stock,12/18/2019,P,"
,500,(1),
",A,"14,441,032",D
Common Stock,12/16/2019,A,713,A,"51,168",D
"Class A Common Stock, par value $0.001 per share",12/16/2019,"
,S,(1),
",850,D,"10,098",D
COMMON STOCK,12/16/2019,S,"5,000",D,"674,915",D
Common Stock $.01 Par Value ND,,,,,"180,572",D
Common Stock,12/16/2019,A,713,A,"3,423",D
"
,Common Stock,(1),
",12/16/2019,A,"
,2,697,(2),
",A,"2,697",D
Common Stock,12/17/2019,F,"
,1,211,(1),
",D,"25,801",D
Common Stock,12/16/2019,D,"
,22,307,(1),
",D,"
,579,244,(3),
",D
"
,Common Stock,(1),
",12/16/2019,A,"
,12,000,(2),
",A,"46,579",D
Common Stock $.01 Par Value ND,,,,,"378,043",D
Common Stock,12/17/2019,"
,S,(1),
",500,D,"30,302,210","
,D,(3),
"
Common Stock,12/17/2019,"
,M,(1),
","7,322",A,"136,865",D
"
,Common Stock,(1),
",12/16/2019,A,"
,25,000,(2),
",A,"85,000",D
Common Stock,12/17/2019,"
,S,(1),
",66,D,"293,526",I
Common Stock,12/17/2019,"
,S,(1),
","7,633",D,"29,799",D
Common Stock,12/16/2019,A,713,A,"2,807",D
Franklin Financial Services Corp,12/16/2019,P,100,A,"1,100",D
Monmouth Real Estate Investment Corporation,,,,,"
,8,985.2284,(1),
",D
Common Stock $.01 Par Value ND,,,,,"800,000",D
Class A Common Stock,12/16/2019,"
,P,(1),
","9,635",A,"139,715",D
Common Stock,12/16/2019,M,"1,300",A,"166,276",D
Common Stock,12/16/2019,M,"48,000",A,"82,843",D
Common Stock,12/16/2019,S,"
,2,000,(1),
",D,"
,263,633,(2),
",D
Class B Common Stock,12/16/2019,A,"
,200,000,(1),
",A,"200,000",D
Common Stock,11/27/2019,S,"6,758",D,"8,340",D
Common Stock,,,,,"57,789.54",D
Common Stock,12/11/2019,G,"1,500",D,"446,725.59",D
"Common Shares, par value $0.000017727 per share",12/16/2019,P,"
,131,541,(1),
",A,"44,895,145",D
Common Stock,11/29/2019,"
,A,(1),
",500,A,"90,849",D
"Common Stock, par value $0.01",12/17/2019,M,"50,000",A,"597,732.55",D
Common Stock,12/16/2019,M,"3,333",A,"191,815",D
COMMON STOCK,12/17/2019,"
,S,(1),
","2,285",D,"4,573",D
Common Stock,12/16/2019,M,"6,667",A,"195,557",D
"Common Stock, $0.01 par value",12/16/2019,F,"19,076",D,"362,356",D
"
,Common Stock,(1),
",12/16/2019,A,"22,000",A,"22,000",D
Common Stock,12/16/2019,M,"6,667",A,"113,895",D
Common Stock,12/16/2019,M,"4,166",A,"92,906",D
Common Stock,12/17/2019,G,700,D,"665,417",D
"
,Common Stock,(1),
",12/16/2019,A,"
,25,(2),
",A,"2,052",D
Common Stock,12/16/2019,M,"5,000",A,"
,31,101,(1),
",D
COMMON STOCK,12/17/2019,M,"10,000",A,"16,234",D
Common Stock,12/16/2019,P,"3,000",A,"196,620","
,D,(1),
"
Common Stock,12/17/2019,A,"
,60,000,(1),
",A,"85,000",D
Common Stock,12/15/2019,"
,M,(1),
","1,138",A,"97,416",D
Common Stock,12/16/2019,A,713,A,"21,498",D
Common Stock,12/17/2019,A,"
,47,600,(1),
",A,"127,408",D
Common Stock,12/16/2019,S,"50,000",D,"
,504,329,(2),
",D
Common Stock,12/17/2019,S,"6,794",D,"532,691",D
Common Stock,12/17/2019,G,"9,600",D,"182,817",D
Class A Common Stock,12/15/2019,M,"1,581",A,"12,121",D
Common Stock,12/16/2019,"
,S,(1),
","28,854",D,"1,259,461",D
COMMON STOCK,12/16/2019,M,"1,389",A,"8,521",D
"
,Common Stock,(1),
",12/16/2019,A,"
,172,(2),
",A,"14,173",D
Common Stock,12/16/2019,S,"22,436",D,"1,610,651",I
