TitleOfSecurity,TransactionDate,TransactionCode,Amount,SecuritiesAcquirednDisposed,AmountOfSecurityOwned,OwnershipForm
Class A Common Stock,12/17/2019,C,"15,000",A,"94,004",D
Common Stock,12/16/2019,G,"3,000",D,"
,311,533,(1),
",D
ResMed Common Stock,12/16/2019,"
,S,(1),
","1,302",D,"152,044",I
Common Stock,12/16/2019,F,"
,295,(1),
",D,"26,508",D
Common Stock,12/12/2019,G,"1,420",D,"345,457",D
Common Stock,12/17/2019,P,"2,500",A,"25,207",D
Common Stock $.01 Par Value ND,,,,,"8,761",D
Common Stock,12/16/2019,A,"
,193,(1),
",A,"4,347",D
Class A Common Stock,12/16/2019,A,"6,250",A,"6,250",D
Class A Common Stock,12/17/2019,S,"3,000",D,"4,326,945",D
Common Stock,12/16/2019,M,"1,125",A,"82,467",D
Common Stock,12/17/2019,A,"
,2,703,(1),
",A,"
,2,703,(2),
",D
"
,Common Stock,(1),
",11/12/2019,A,"20,000",A,"20,000",D
Common Stock,12/17/2019,"
,S,(1),
","344,599",D,"3,101,386",I
Common Stock,12/17/2019,A,"
,24,000,(1),
",A,"82,503",D
Common Stock,12/16/2019,M,"7,500",A,"36,250",D
Common Stock $0.01 Par Value,12/16/2019,"
,J,(1),
",24.0534,A,"35,157.34",D
"Class B common stock, par value $0.01",12/16/2019,C,"661,735",D,"2,213,171",I
Common Stock,12/17/2019,"
,S,(1),
","1,915,728",D,"3,618,234",I
Common Stock,12/17/2019,"
,S,(1),
","500,000",D,"1,681,439",I
Common Stock,12/17/2019,"
,S,(1),
","2,181,577",D,"2,016,938",I
Common Stock,12/17/2019,"
,S,(1),
","1,915,728",D,"3,618,234",I
Common Stock,12/17/2019,"
,S,(1),
","2,181,577",D,"2,016,938","
,D,(2),
"
Common Stock,12/16/2019,M,"119,386",A,"205,115",D
Common Stock,,,,,"6,846,064",I
Class A Common Stock,12/16/2019,A,"9,300","
,A,(1),
","
,34,287,(2),
",D
Common Stock,12/16/2019,S,"10,000",D,"703,539",D
Common Stock,12/16/2019,S,"
,6,068,(1),
",D,"41,491",D
Class A Common Stock,12/16/2019,M,"
,12,500,(1),
",A,"22,300",I
Class A Common Stock,12/16/2019,"
,S,(1),
","
,9,688,(1),
",D,"144,744",D
Common Stock,12/16/2019,S,"3,671",D,"
,16,116,(2),
",D
Class A Common Stock,12/16/2019,A,"5,000",A,"228,125",D
Common Stock,,,,,93,I
Common Stock,11/7/2019,G,"
,1,100,(1),
",D,"
,63,128,(2),
",D
"Common, stock $.10 par value",12/16/2019,S,"1,134",D,"
,182,156,(1),
",D
CLASS A COMMON STOCK,12/17/2019,C,"
,25,000,(1),
",A,"25,000",D
Common Stock,12/16/2019,S,800,D,"11,254.06",D
Common Stock,12/16/2019,M,"3,331",A,"80,059.42",D
Common Stock,12/16/2019,F,"
,167.537,(1),
",D,"
,144,062.249,(2),
",D
Common Stock,,,,,"26,884.24",D
Common Stock,12/16/2019,"
,S,(1),
","2,500",D,"66,680",D
Common Stock,12/16/2019,F,"
,484.467,(1),
",D,"
,245,530.292,(2),
",D
Common Stock,12/17/2019,S,"1,750",D,"39,885",D
Common Stock,,,,,338,I
Common Stock,12/16/2019,"
,C,(1),
","4,753,167",A,"4,753,167",I
Common Stock,12/16/2019,S,"
,2,000,(1),
",D,"
,44,960,(2),
",D
PGTI Common Stock,12/16/2019,M,"
,25,000,(1),
",A,"1,340,065",D
COMMON STOCK,12/16/2019,S,2,D,"
,186,(1),
",D
Common Stock,,,,,577,I
Common Stock,12/16/2019,S,"6,000",D,"115,175",D
Common Stock,12/20/2016,G,10,D,"29,330",D
Common Stock,12/16/2019,A,"
,5,437,(1),
",A,"42,853",D
Common Stock,12/17/2019,M,"5,000",A,"
,79,314.94,(1),
",D
Common Shares of Beneficial,12/17/2019,M,"8,151",A,"49,446",D
Common Stock,12/16/2019,G,"1,000",D,"18,425",D
Common Stock,12/16/2019,"
,M,(1),
","5,944",A,"99,261",D
Class A Common Stock,12/16/2019,"
,C,(1),
","8,161,656",A,"8,161,656","
,D,(2),
"
Common Stock,,,,,"3,068,951",D
Class A Common Stock,12/15/2019,M,"3,531",A,"5,289",D
Class A Common Stock,12/15/2019,M,"3,087",A,"3,087",D
Class A Common Stock,12/11/2019,G,983,D,"14,752",I
Class A Common Stock,12/15/2019,M,768,A,"6,311",D
Class A Common Stock,12/15/2019,M,"2,206",A,"13,670",D
Common Stock,12/16/2019,A,"
,6,000,(1),
",A,"8,000",D
Common Stock,12/16/2019,F,533,D,"51,628",D
Common Stock,12/16/2019,F,"
,13,918,(1),
",D,"481,852",D
Common Stock,12/16/2019,A,"
,20,(1),
",A,90,D
Common Stock,12/17/2019,M,853,A,"1,521",D
"Orrstown Financial Services, Inc. Common, Restricted Stock",12/17/2019,D,"1,575",D,"13,535",D
Common Stock,5/12/2019,"
,F,(1),
","2,649",D,"115,837",D
Common Stock,12/16/2019,"
,C,(1),
","3,774,182",A,"3,774,182",I
Common Stock,12/17/2019,A,"
,24,000,(1),
",A,"50,686",D
Class A Common Stock,12/16/2019,"
,F,(1),
",596,D,"
,8,078,(2),(3),
",D
Common Stock,12/16/2019,P,"10,000",A,"75,480",D
Common Stock,12/16/2019,P,"100,000",A,"479,074",D
"Class A Common Shares, $0.01 par value per share",12/16/2019,S,"6,139",D,"
,132,847,(2),
",D
Common Stock,12/17/2019,P,"1,000",A,"1,782",D
Common Stock,12/16/2019,A,"
,6,848,(1),
",A,"68,308",D
Common Stock,12/16/2019,A,"
,3,227,(1),
",A,"3,477",D
Common Stock,12/16/2019,A,"
,9,282,(1),
",A,"129,215",D
Common Stock,12/16/2019,A,"
,3,448,(1),
",A,"3,448","
,D,(1),
"
Common Stock,12/16/2019,A,"
,2,365,(1),
",A,"2,365",D
Common Stock,12/16/2019,A,"
,3,448,(1),
",A,"3,448","
,D,(1),
"
Common Stock,12/17/2019,A,"
,9,300,(1),
",A,"90,231",D
Common Shares,12/17/2019,F,"
,4,180,(1),
",D,"317,046",D
Common Stock,,,,,"
,24,809.2781,(1),
",D
Common Stock,12/16/2019,M,"4,046",A,"210,734",D
Class A Common Stock,12/17/2019,"
,S,(1),
","
,4,000,(1),
",D,"335,682",I
Common Stock,12/16/2019,"
,S,(1),
","10,000",D,"124,860",D
Common Stock,12/17/2019,F,145,D,"5,337",D
Common Stock,12/17/2019,"
,F,(1),
",255,D,"23,448",D
Common Stock,12/17/2019,S,500,D,"23,965",D
Restricted Stock Units,-2,,,"7,671","
,
                
            ,(5),
","
,
                
            ,(5),
"
"
,Common Stock,(1),
",12/16/2019,S,"60,000",D,"252,726",D
Common Stock $.01 Par Value ND,,,,,"125,742",D
Common Stock $.01 Par Value ND,,,,,"4,616",D
"
,Common Stock,(1),
",11/12/2019,A,"11,710",A,"11,710",D
Class A Common Stock,12/16/2019,A,"5,000",A,"301,250",D
Common Units of limited liability company interests,12/16/2019,P,199.98,A,"
,904.76,(1),
",D
Common Stock,12/16/2019,S,"
,1,000,(1),
",D,"
,77,874,(2),
",D
Common Stock,,,,,"
,18,693.2598,(1),
",D
Common Stock,12/16/2019,"
,C,(1),
","3,433,611",A,"3,433,611",I
Common Units of limited liability company interests,12/16/2019,P,17.5,A,"
,79.17,(1),
",D
Common Stock,12/16/2019,M,"12,153",A,"27,739",D
"Common Stock, par value .01",12/16/2019,M,"
,37,500,(1),(2),
",A,"324,113",D
Common Stock,12/16/2019,"
,S,(1),
","7,268",D,"
,12,802,(3),
",D
Common Stock,12/16/2019,"
,S,(1),
","6,351",D,"53,428",D
Class A Common Stock,12/17/2019,S,"20,000",D,"437,996",I
Class A Common Stock,12/18/2019,G,800,D,"700,523",D
Common Stock,12/16/2019,F,74,D,"
,5,826.175,(1),
",D
Common Stock,12/16/2019,F,"22,560",D,"1,494,513.56",D
Common Stock,12/16/2019,S,"1,400",D,"12,457",D
Class A Common Stock,12/16/2019,S,"
,50,000,(5),
",D,"1,943,282",I
Class A Common Stock,12/16/2019,"
,A,(1),
","8,230",A,"86,567",D
Class A Common Stock,12/16/2019,"
,C,(1),
","70,000",A,"139,897",D
Common Stock,12/17/2019,A,"
,51,920,(1),
",A,"77,332",D
Common Stock,12/15/2019,"
,M,(1),
","72,860",A,"986,395",D
Common Stock $.01 Par Value ND,,,,,"144,997",D
COMMON STOCK,12/18/2019,G,"
,669,(1),
",D,"65,646",D
Common Units (Limited Partner Interests),12/16/2019,F,"4,633",D,"385,168.46",D
"Common Stock, $0.01 par value",12/16/2019,F,"9,635",D,"116,495",D
"Class A Common Stock, par value $0.0000001 per share",12/16/2019,S,"26,982",D,"2,109,422",I
Common Stock,12/16/2019,"
,S,(1),
","3,825",D,"61,934",D
Common Stock,12/16/2019,G,"2,586",D,"
,325,426,(2),
",D
Monmouth Real Estate Investment Corporation,12/18/2019,P,701,A,"432,752.56",D
MNR Common Stock,,,,,"
,904,925.148,(1),
",D
"Common Stock, par value $0.01 per share",12/16/2019,P,"
,1,892,(4),
",A,"
,1,504,181,(1),(2),(3),
",I
Monmouth Real Estate Investment Corporation,12/16/2019,P,140.94,A,"
,431,416.56,(1),
",D
Common Stock,12/16/2019,"
,A,(1),
","49,295",A,"49,295",D
Common Stock,12/16/2019,"
,S,(1),
","2,000",D,"59,672",D
Common Stock,12/13/2019,G,292,D,"21,544",I
"Common Stock, par value $0.01 per share",12/16/2019,"
,M,(1),
",715,A,"19,165",D
Common Stock $.01 Par Value ND,,,,,"21,463",D
Common Stock $.01 Par Value ND,,,,,"18,168",I
Common Stock $.01 Par Value ND,,,,,"17,716",D
Common Stock $.01 Par Value ND,,,,,"69,329",D
Common Stock $.01 Par Value ND,,,,,"4,545",D
Common Stock $.01 Par Value ND,,,,,"2,594",D
Common Stock,12/17/2019,A,"
,224,(1),
",A,"37,626",D
Common Units of limited liability company interests,12/16/2019,P,45,A,"
,203.57,(1),
",D
Class A Common Stock,12/16/2019,"
,A,(1),
","115,220",A,"224,959",D
Common Stock,12/16/2019,M,"24,000",A,"97,000",D
Class A Common Stock,12/16/2019,A,"
,3,681,(1),
",A,"28,425",I
Class A Common Stock,12/17/2019,S,"20,000",D,"437,996",D
Common Stock,12/16/2019,G,19,D,"2,349.71",D
Restricted Stock Units,-2,,,"3,836","
,
                
            ,(5),
","
,
                
            ,(5),
"
Common Stock,12/16/2019,S,"
,8,862,(1),
",D,"151,197",D
Common Stock,,,,,"7,032,341",I
Common Stock,7/15/2019,"
,J,(1),
","33,500,000",A,"
,40,200,000,(2),
",I
Common Stock,12/16/2019,M,441,A,"
,178,225.389,(2),
",D
Common Stock,12/18/2019,P,60,A,"
,28,534.883,(1),
",D
"Common Stock, $0.001 par value",12/16/2019,P,"
,1,500,(1),
",A,"17,241,113",I
Common Stock,12/16/2019,"
,F,(1),
","1,336",D,"31,894",D
Common Stock,12/18/2019,"
,S,(1),
","4,500",D,"433,907",D
Common Stock,12/17/2019,P,"11,500",A,"11,500",I
"Class A common stock, par value $0.01",12/16/2019,S,"1,153,187",D,"3,856,823",I
Common Stock,12/16/2019,S,"1,000",D,"7,393",D
Common Stock,12/17/2019,"
,A,(1),
","1,939",A,"2,431",D
Common Stock,12/17/2019,F,"
,12,560,(1),
",D,"499,636",D
Common Stock,12/17/2019,F,598,D,"28,279",D
Common Stock,12/17/2019,"
,A,(1),
","1,939",A,"9,297",D
Common Stock,12/16/2019,S,"
,4,759,(1),
",D,"2,980,433",D
"Common Stock, par value $0.01",12/16/2019,"
,M,(1),
",997,A,"2,896",D
Common Stock,12/17/2019,"
,S,(1),
","9,689",D,"46,151",D
Class A Common Stock,12/16/2019,"
,C,(1),
","4,000",A,"73,897",D
Common Units of limited liability company interests,12/16/2019,P,49.99,A,"
,226.19,(1),
",D
Class A Common Stock,12/16/2019,C,"4,428",A,"
,29,144,(2),
",D
Common Stock,12/16/2019,A,111,A,"11,152",D
Common Stock,12/17/2019,F,"4,266",D,"263,418",D
Common Stock,12/11/2019,A,"1,030",A,"1,030",D
Common Stock,12/17/2019,S,"9,600",D,"55,814",D
Common Stock,12/17/2019,S,"70,291",D,"114,945,013",D
Common Shares,12/16/2019,M,"8,000",A,"172,320",D
Common Stock,12/16/2019,"
,S,(1),
","7,373",D,"1,994,089",D
"Common Stock, $0.001 par value",12/16/2019,F,"
,1,240,(1),
",D,"
,90,717,(2),
",D
Common Stock,12/13/2019,M,666,A,666,D
"Common Stock, $.01 Par Value",12/17/2019,P,"10,000",A,"10,000",D
Common Stock,12/16/2019,M,"10,066",A,"142,796",D
Common Stock $0.01 Par Value,12/16/2019,"
,J,(1),
",4.99,A,"16,643.50",D
Common Stock,12/16/2019,"
,A,(1),
","1,843",A,"
,11,287.8393,(2),
",D
Restricted Stock Units,-2,,,"3,836","
,
                
            ,(5),
","
,
                
            ,(5),
"
"
,Class B Common Stock,(1),
",12/16/2019,C,"322,804",D,"
,1,079,617,(3),
",I
Common Stock,12/17/2019,M,"3,100",A,"43,048",D
"Common Stock, $0.001 par value",12/16/2019,F,"
,1,612,(1),
",D,"
,104,214,(2),
",D
"Common Stock, par value $0.001 per share",12/16/2019,"
,M,(1),
",100,A,"211,452",D
"
,Ordinary Shares,(1),(2),
",12/16/2019,M,"25,000",A,"
,46,552,(3),
",D
Common Stock,12/16/2019,"
,S,(1),
","2,200",D,"12,945",D
Common Stock,12/16/2019,F,124,D,"5,404",D
Common Stock,12/16/2019,"
,S,(1),
","13,669",D,"1,135,708","
,I,(3),
"
Class A Common,12/18/2019,"
,S,(1),
","3,604",D,"
,219,243,(3),
",D
Common Stock,12/16/2019,"
,M,(1),
","
,1,000,(1),
",A,"13,683",D
Common Stock,12/16/2019,A,713,A,"180,652",D
Common Stock,12/17/2019,P,"5,033",A,"
,329,835,(1),
",D
Common Stock,12/17/2019,P,"6,991",A,"
,973,191,(1),
",D
"Common Stock, par value $0.01",12/16/2019,S,"
,1,300,(1),
",D,"28,570.40",D
Common Stock,12/16/2019,"
,C,(1),
","27,639",A,"27,639",D
Common Stock,12/18/2019,P,"5,258",A,"623,890",D
Common Stock,12/16/2019,"
,S,(1),
","3,500",D,"388,668",D
Common Stock,12/16/2019,A,713,A,"2,310",D
Common Stock,12/17/2019,"
,A,(1),
","1,939",A,"3,291",D
Common Stock,12/16/2019,P,"
,9,100,(1),
",A,"9,100",D
Common Stock,12/16/2019,M,"1,865",A,"
,326,240.981,(2),
",D
Common Stock,12/17/2019,P,"9,500",A,"2,138,144",D
Common Stock,12/17/2019,"
,S,(1),
",300,D,"49,645.74",D
Common Stock,12/17/2019,"
,F,(1),
",309,D,"41,440",D
Common Stock,12/16/2019,G,"
,3,250,(1),
",D,"7,444",D
Common Stock,1/22/2019,"
,G,(1),
","984,766",A,"13,259,366","
,D,(2),
"
Class A Common Stock,12/17/2019,F,"24,321",D,"35,679",D
Common Stock,12/16/2019,"
,F,(1),
","10,812",D,"96,567",D
Common Stock,12/16/2019,"
,A,(1),
","8,000",A,"10,566",D
Common Stock,12/16/2019,"
,C,(1),
","339,098",A,"339,098",I
Common Stock,12/16/2019,"
,S,(1),
",600,D,"27,188",D
Common Stock,12/17/2019,"
,S,(1),
","11,468",D,"8,382",D
Class A Common Stock,12/16/2019,G,"1,837",D,"549,772",D
Class A Common Stock,12/16/2019,"
,A,(1),
","41,150",A,"281,319",D
Common Stock,12/16/2019,G,"6,000",D,"473,587",I
Class A Common Stock,12/16/2019,"
,A,(1),
","41,150",A,"215,288",D
Common Stock,12/16/2019,F,796,D,"252,895",D
Common Stock,12/16/2019,S,"3,000",D,"37,517",I
Common Stock,2/5/2019,A,"100,000",A,"636,597",D
Common Stock,12/16/2019,"
,C,(1),
","6,958,994",A,"6,958,994",I
Common Stock,12/16/2019,"
,M,(1),
",415,A,415,D
"Class A common stock, par value $0.01",12/16/2019,S,"1,153,187",D,"3,856,823",I
Ordinary Shares,,,,,"291,667",D
Class A Common Stock,12/16/2019,G,"3,863",D,"104,445",D
Common Stock,12/17/2019,F,668,D,"70,412",D
Common Stock,12/17/2019,F,671,D,"39,602",D
Common Stock,12/16/2019,"
,S,(1),
","2,727",D,"880,555",D
Common Stock,12/16/2019,X,"374,321",A,"5,332,345",I
Common Stock,12/16/2019,"
,C,(1),
","6,958,994",A,"6,958,994",I
,,,,,,
Common Stock,12/16/2019,S,"
,5,000,(1),
",D,"720,060",D
,,,,,,
Common Stock,12/16/2019,"
,F,(1),
","12,295",D,"256,536",D
Common Stock,12/16/2019,"
,F,(1),
","63,699",D,"1,594,757",D
Common Stock,12/17/2019,"
,S,(1),
",310,D,"705,578",D
Common Stock,12/15/2019,"
,M,(1),
","2,111",A,"31,376",D
"Common Stock, par value $0.01 per share",12/17/2019,S,"1,304",D,0,D
Common Stock,12/17/2019,G,"35,091",D,"1,464,909",D
Common Stock,12/17/2019,S,"2,000",D,"9,500",D
Common Stock,1/22/2019,"
,G,(1),
","984,766",D,"5,750,515",I
Common Stock,12/16/2019,"
,M,(1),
","38,214",A,"476,510.28",D
"common stock, par value $.01",12/16/2019,M,"
,68,750,(2),(3),
",A,"806,861",D
Common Stock,12/17/2019,"
,A,(1),
","1,939",A,"2,431",D
Common Stock,12/17/2019,"
,A,(1),
","1,939",A,"5,076",D
Class B Common Stock,,,,,"3,087",I
Common Stock,12/17/2019,"
,F,(1),
","3,006",D,"66,894",D
Common Stock,12/17/2019,A,"
,51,920,(1),
",A,"154,065",D
Common Stock,12/16/2019,"
,S,(1),
",948,D,74,D
"
,Common Stock,(1),
",12/16/2019,A,"
,124,(2),
",A,"35,990",D
Class A Common Stock,11/26/2019,"
,J,(1),
","658,566",A,"880,272",I
Common Stock; par value $0.01,,,,,"18,194",D
Common Stock,12/16/2019,M,"34,122",A,"516,703",D
Common Stock,12/16/2019,M,"
,17,425,(1),
",A,"177,138",D
Common Stock,12/16/2019,M,"12,460",A,"192,209",D
Common Stock,12/16/2019,M,"6,718",A,"35,953",D
Common Stock,12/16/2019,A,"
,193,(1),(2),
",A,"21,721",D
Common Stock,12/17/2019,"
,M,(1),
","5,712",A,"37,396",D
Common Stock,12/16/2019,A,"
,20,(1),
",A,72,D
Common Stock,12/16/2019,A,"
,20,(1),
",A,181,D
Common Stock,12/16/2019,A,"
,20,(1),
",A,"
,741,(2),
",D
Common Stock,12/16/2019,A,713,A,"5,396",D
Common Stock,12/12/2019,G,"1,000",D,"26,083",I
Common Stock,12/16/2019,A,200,A,200,D
Common Stock,12/16/2019,G,"
,850,(1),
",D,"15,299",D
"Common Shares, Par Value $0.001",12/16/2019,S,"4,000",D,"260,000",I
Common Stock,12/16/2019,M,"
,17,425,(1),
",A,"136,578",D
Common Stock,12/16/2019,"
,M,(1),
","3,500",A,"16,036",D
Common Stock,12/16/2019,P,"
,68,679,(1),
",A,"70,483",D
Class A Common Stock,12/16/2019,"
,F,(1),
","3,782",D,"
,62,433.826,(2),
",D
"
,Common Stock,(1),
",12/16/2019,A,"
,39,(2),
",A,"3,184",D
Common Stock,12/17/2019,M,"12,500",A,"36,651",D
"
,Common Stock,(1),
",12/16/2019,A,"
,54,(2),
",A,"4,362",D
Common Stock,12/16/2019,S,"3,000",D,"
,86,797,(1),
",D
Common Stock,12/16/2019,F,36,D,"2,937",D
Common Stock,12/15/2019,"
,M,(1),
","7,312",A,"1,241,145",D
Common Stock,12/16/2019,"
,S,(1),
","15,000",D,"193,460",D
Ordinary Shares,12/16/2019,S,"23,862",D,"1,138,281",D
Common Stock,12/16/2019,M,"2,120",A,"138,269",D
"Common Stock, par value $0.001 per share",12/16/2019,"
,S,(1),
",581,D,0,D
Common Shares,,,,,"14,023",D
Common Stock,12/18/2019,J,"127,868,000",D,0,D
Common Units,12/17/2019,P,"50,000",A,"238,932",D
Common Stock,12/16/2019,M,"
,52,859,(1),
",A,"417,710",D
Common Stock,,,,,"1,142",I
Common Stock,,,,,"47,538",I
Common Stock,,,,,"
,4,152.5877,(1),
",D
Common Stock,,,,,"9,786.91",D
Common Stock,4/30/2019,A,"
,500,(1),
",A,"939,026",D
Class A Common,12/17/2019,P,2.2315,A,"5,912.57",D
"
,Common Stock,(1),
",11/12/2019,A,"11,710",A,"11,710",D
Common Stock,12/18/2019,"
,S,(1),
","7,500",D,"130,306.18",D
Common Stock,12/16/2019,A,89,A,"46,909",D
Common Stock,12/18/2019,P,"316,146",A,"11,317,701",D
Class A Common Stock,12/16/2019,"
,F,(1),
","4,588",D,"
,26,537,(2),
",D
Class A Common Stock,12/16/2019,"
,F,(1),
","5,487",D,"
,86,459,(2),
",D
Common Stock,12/16/2019,A,"
,193,(1),
",A,"1,411",D
Common Stock,12/16/2019,F,106,D,"
,8,420.612,(1),
",D
Common Stock,12/17/2019,I,"2,000",D,"266,459",D
Common Stock $0.01 Par Value,12/16/2019,"
,J,(1),
",19.1603,A,"12,162.74",D
Class A Common Stock,12/16/2019,"
,S,(1),
","62,032",D,"402,017",D
Common Stock,12/16/2019,F,"
,7,024,(1),
",D,"199,054",D
"
,Common Stock,(1),
",12/17/2019,A,"44,250",A,"44,250",D
Common Stock,12/16/2019,A,"
,193,(1),
",A,"15,242",D
Common Stock,12/16/2019,A,"
,193,(1),
",A,"8,067",D
Common Stock,12/16/2019,"
,C,(1),
","244,958",A,"244,958",I
"
,Common Stock,(1),
",12/16/2019,A,"
,562,(2),
",A,"46,215",D
Common Stock,12/16/2019,"
,M,(1),
","2,019",A,"12,019",D
Common Stock,12/16/2019,M,"20,000",A,"755,694",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",39,A,"690,743",D
Class A Common Stock,12/16/2019,"
,S,(1),
","14,167",D,"957,595",D
Common Stock,12/17/2019,M,"63,225",A,"231,334",D
Class A Common Stock,12/16/2019,A,"5,000",A,"5,000",D
Common Stock,12/16/2019,A,"37,058",A,"37,058",I
"Common Stock, $0.0001 par value",12/16/2019,M,"2,500",A,"
,21,826,(1),
",D
Class A Common Stock,12/3/2019,P,"10,000",A,"10,000",I
Common Stock,12/16/2019,"
,C,(1),
","244,958",A,"244,958",I
Common Stock,12/16/2019,M,"7,500",A,"
,657,717,(1),
",D
Class A Common Stock,12/17/2019,P,"1,000",A,"1,207,891",D
Common Stock,12/16/2019,A,"
,185,(1),
",A,"21,516",D
Common Stock,12/17/2019,F,"
,8,299,(1),
",D,"
,615,239,(2),
",D
Common Stock,,,,,"4,100",I
Common Stock,12/18/2019,S,"1,400",D,"4,192",D
Class A Common Stock,12/16/2019,G,432,D,"95,239",D
Common Shares,12/17/2019,P,"1,063",A,"136,913",D
Common Stock,12/16/2019,"
,S,(1),
","17,750",D,"1,081,611",D
Common Stock,12/17/2019,G,433,D,"
,44,687.171,(1),
",D
Class A Common Stock,11/27/2019,G,"95,336",D,"164,790.35",D
Common Stock,12/16/2019,S,"
,2,500,(1),
",D,"
,90,542,(2),
",D
Common Stock,12/17/2019,P,"2,000",A,"722,000",I
Class A Common Stock,12/17/2019,A,"
,1,080,(1),
",A,"1,080",D
"Common Stock, $0.001 par value",12/16/2019,F,"
,372,(1),
",D,"
,50,434,(2),
",D
Restricted Stock Units,-2,,,"3,836","
,
                
            ,(5),
","
,
                
            ,(5),
"
Common Stock,12/16/2019,M,"25,000",A,"1,098,704",D
Common Stock,12/16/2019,P,"20,000",A,"652,216",D
Common Shares,12/16/2019,"
,M,(1),
","3,537",A,"3,537",I
"
,Ordinary Shares,(1),(2),
",12/16/2019,M,"43,253",A,"177,059",D
Common Stock,12/16/2019,M,"3,000",A,"44,074",D
Common Stock,12/16/2019,M,"53,300",A,"67,644",D
Common Stock,12/17/2019,P,"10,820",A,"10,820",I
Common Stock,12/16/2019,S,"1,101",D,"57,154",D
Common Stock $0.01 Par Value,12/16/2019,"
,J,(1),
",235.121,A,"58,474.83",D
Common Stock $0.01 Par Value,12/16/2019,"
,A,(1),
",136,A,"59,794",D
Class A Common Stock,12/16/2019,A,"5,000",A,"5,000",D
Common Stock,12/18/2019,P,"15,000",A,"17,290,317",D
Common Stock,12/16/2019,M,"1,733",A,"83,945",D
